iter	Passed	Remaining
0	0	38
1	0	45
2	1	42
3	1	39
4	2	38
5	2	36
6	2	36
7	3	36
8	3	37
9	3	35
10	4	35
11	4	35
12	5	35
13	5	34
14	6	34
15	6	34
16	6	33
17	7	32
18	7	32
19	8	32
20	8	32
21	8	31
22	9	31
23	9	31
24	10	30
25	10	30
26	11	30
27	11	29
28	11	28
29	12	28
30	12	27
31	12	27
32	13	27
33	13	27
34	14	26
35	14	26
36	15	26
37	15	25
38	16	25
39	16	24
40	17	24
41	17	23
42	17	23
43	17	22
44	18	22
45	18	21
46	19	21
47	19	21
48	19	20
49	20	20
50	20	19
51	21	19
52	21	18
53	21	18
54	22	18
55	22	17
56	22	17
57	23	16
58	23	16
59	24	16
60	24	15
61	25	15
62	26	15
63	26	14
64	26	14
65	27	14
66	27	13
67	28	13
68	28	12
69	28	12
70	29	11
71	29	11
72	30	11
73	30	10
74	31	10
75	31	9
76	31	9
77	32	9
78	32	8
79	33	8
80	33	7
81	33	7
82	34	7
83	34	6
84	35	6
85	35	5
86	36	5
87	36	4
88	36	4
89	37	4
90	38	3
91	39	3
92	39	2
93	39	2
94	40	2
95	40	1
96	41	1
97	41	0
98	41	0
99	42	0
