iter	Passed	Remaining
0	57	57593
1	57	28936
2	58	19379
3	58	14601
4	59	11753
5	59	9848
6	59	8484
7	60	7452
8	60	6656
9	60	6013
10	61	5485
11	61	5053
12	61	4679
13	61	4364
14	62	4086
15	62	3842
16	62	3629
17	63	3444
18	63	3279
19	63	3125
20	64	2987
21	64	2860
22	64	2746
23	65	2643
24	65	2548
25	65	2461
26	65	2377
27	66	2301
28	66	2230
29	66	2164
30	67	2102
31	67	2046
32	68	1992
33	68	1940
34	68	1893
35	69	1848
36	69	1805
37	69	1765
38	70	1726
39	70	1687
40	70	1650
41	70	1617
42	71	1587
43	71	1555
44	71	1525
45	72	1495
46	72	1467
47	72	1441
48	73	1417
49	73	1392
50	73	1370
51	73	1348
52	74	1328
53	74	1307
54	74	1287
55	75	1270
56	75	1252
57	76	1235
58	76	1218
59	76	1201
60	77	1185
61	77	1170
62	77	1155
63	77	1140
64	78	1125
65	78	1110
66	78	1097
67	79	1083
68	79	1072
69	79	1061
70	80	1049
71	80	1038
72	80	1027
73	81	1016
74	81	1005
75	81	995
76	82	984
77	82	973
78	82	963
79	83	955
80	83	945
81	83	935
82	83	924
83	84	916
84	84	907
85	84	899
86	84	891
87	85	884
88	85	877
89	85	869
90	86	862
91	86	855
92	86	848
93	87	841
94	87	833
95	87	827
96	88	820
97	88	814
98	88	809
99	89	803
100	89	796
101	89	791
102	90	786
103	90	780
104	90	775
105	91	769
106	91	764
107	91	758
108	92	752
109	92	747
110	92	742
111	92	737
112	93	731
113	93	726
114	93	722
115	94	717
116	94	712
117	94	708
118	95	704
119	95	701
120	95	697
121	96	692
122	96	688
123	96	683
124	97	679
125	97	675
126	97	670
127	97	666
128	98	663
129	98	660
130	98	656
131	99	652
132	99	648
133	99	644
134	100	640
135	100	637
136	100	633
137	100	629
138	101	626
139	101	622
140	101	619
141	101	615
142	102	612
143	102	610
144	102	606
145	103	604
146	103	601
147	103	597
148	104	594
149	104	593
150	105	591
151	105	589
152	105	586
153	106	584
154	106	581
155	106	578
156	107	576
157	107	573
158	108	571
159	108	569
160	108	566
161	109	564
162	109	561
163	109	559
164	110	557
165	110	555
166	110	553
167	111	551
168	111	548
169	112	546
170	112	544
171	112	541
172	112	539
173	113	537
174	113	534
175	113	532
176	114	530
177	114	528
178	114	526
179	115	524
180	115	522
181	115	520
182	116	518
183	116	516
184	116	515
185	117	513
186	117	510
187	117	508
188	118	506
189	118	504
190	118	502
191	119	503
192	120	501
193	120	500
194	120	498
195	121	497
196	121	495
197	121	493
198	122	492
199	122	490
200	123	488
201	123	487
202	123	485
203	123	483
204	124	481
205	124	479
206	124	478
207	125	476
208	125	475
209	125	473
210	126	474
211	127	472
212	127	471
213	127	469
214	128	468
215	128	466
216	129	465
217	129	464
218	129	462
219	129	460
220	130	459
221	130	457
222	130	455
223	131	454
224	131	453
225	131	452
226	132	450
227	132	449
228	133	448
229	133	447
230	133	445
231	134	444
232	134	443
233	134	441
234	135	440
235	135	438
236	135	437
237	136	436
238	136	434
239	136	433
240	137	432
241	137	430
242	137	429
243	138	428
244	138	426
245	138	425
246	139	424
247	139	422
248	139	421
249	140	420
250	140	418
251	140	417
252	141	416
253	141	415
254	141	413
255	141	412
256	142	411
257	142	410
258	142	409
259	143	407
260	143	407
261	144	405
262	144	404
263	144	403
264	145	402
265	145	401
266	145	400
267	146	399
268	146	398
269	147	397
270	147	396
271	147	395
272	148	394
273	148	393
274	148	392
275	149	391
276	149	390
277	149	389
278	150	388
279	150	387
280	151	386
281	151	385
282	151	384
283	152	383
284	152	382
285	152	381
286	153	380
287	153	379
288	153	378
289	154	377
290	154	376
291	154	375
292	155	374
293	155	373
294	155	372
295	156	371
296	156	370
297	156	369
298	156	367
299	157	367
300	157	366
301	157	365
302	158	364
303	158	362
304	158	362
305	159	361
306	159	360
307	160	359
308	160	358
309	160	357
310	161	356
311	161	355
312	161	354
313	162	353
314	162	353
315	162	352
316	163	351
317	163	350
318	163	349
319	164	348
320	164	347
321	164	346
322	165	346
323	165	345
324	165	344
325	166	343
326	166	342
327	166	341
328	167	340
329	167	339
330	167	339
331	168	338
332	168	337
333	168	336
334	169	336
335	169	335
336	170	334
337	170	333
338	170	332
339	171	332
340	171	331
341	171	330
342	171	329
343	172	328
344	172	327
345	173	327
346	173	326
347	173	325
348	174	324
349	174	324
350	174	323
351	175	322
352	175	321
353	175	320
354	176	319
355	176	319
356	176	318
357	177	317
358	177	317
359	177	316
360	178	315
361	178	314
362	178	314
363	179	313
364	179	312
365	179	311
366	180	310
367	180	309
368	180	309
369	181	308
370	181	307
371	181	306
372	182	306
373	182	305
374	182	304
375	182	303
376	183	302
377	183	301
378	183	301
379	184	300
380	184	299
381	184	298
382	184	297
383	185	296
384	185	296
385	185	295
386	185	294
387	186	293
388	186	292
389	186	292
390	187	291
391	187	290
392	187	289
393	187	289
394	188	288
395	188	287
396	188	286
397	188	285
398	189	284
399	189	284
400	189	283
401	190	282
402	190	282
403	190	281
